participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,1,0.0,-668.5,meridianV,0.86,vertical,down,down,1,1,down_vertical,1,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,2,-668.5,0.0,meridianH,0.5,vertical,left,left,1,1,left_vertical,1,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,3,668.5,0.0,meridianH,0.5,horizontal,right,right,1,1,right_horizontal,1,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,4,0.0,668.5,meridianV,0.5,vertical,up,up,1,1,up_vertical,1,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,5,0.0,-668.5,meridianV,0.0,vertical,down,right,0,0,down_vertical,2,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,6,668.5,0.0,meridianH,0.77,vertical,right,right,1,1,right_vertical,1,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,7,-668.5,0.0,meridianH,0.5,vertical,left,left,1,2,left_vertical,2,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,8,668.5,0.0,meridianH,0.5,horizontal,right,right,1,2,right_horizontal,2,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,9,0.0,-668.5,meridianV,0.01,vertical,down,down,1,1,down_vertical,3,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,10,0.0,668.5,meridianV,0.5,horizontal,up,up,1,1,up_horizontal,1,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,11,-668.5,0.0,meridianH,0.88,vertical,left,left,1,3,left_vertical,3,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,12,668.5,0.0,meridianH,0.0,vertical,right,up,0,0,right_vertical,2,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,13,668.5,0.0,meridianH,0.01,vertical,right,up,0,0,right_vertical,3,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,14,668.5,0.0,meridianH,0.49,horizontal,right,right,1,1,right_horizontal,3,staircase
