participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,1,0.0,668.5,meridianV,0.71,vertical,up,up,1,1,up_vertical,1,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,2,-668.5,0.0,meridianH,0.5,horizontal,left,left,1,1,left_horizontal,1,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,3,-668.5,0.0,meridianH,0.5,horizontal,left,left,1,2,left_horizontal,2,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,4,668.5,0.0,meridianH,0.5,vertical,right,right,1,1,right_vertical,1,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,5,0.0,668.5,meridianV,0.5,horizontal,up,up,1,1,up_horizontal,1,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,6,668.5,0.0,meridianH,0.98,vertical,right,right,1,2,right_vertical,2,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,7,0.0,668.5,meridianV,0.0,vertical,up,right,0,0,up_vertical,2,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,8,0.0,668.5,meridianV,0.5,horizontal,up,up,1,2,up_horizontal,2,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,9,668.5,0.0,meridianH,0.5,horizontal,right,right,1,1,right_horizontal,1,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,10,668.5,0.0,meridianH,0.49,vertical,right,right,1,1,right_vertical,3,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,11,0.0,-668.5,meridianV,0.79,horizontal,down,down,1,1,down_horizontal,1,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,12,0.0,-668.5,meridianV,0.5,vertical,down,down,1,1,down_vertical,1,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,13,668.5,0.0,meridianH,0.49,vertical,right,right,1,2,right_vertical,4,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,14,-668.5,0.0,meridianH,0.5,vertical,left,left,1,1,left_vertical,1,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,15,0.0,-668.5,meridianV,0.0,horizontal,down,up,0,0,down_horizontal,2,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,16,0.0,668.5,meridianV,0.93,horizontal,up,up,1,3,up_horizontal,3,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,17,668.5,0.0,meridianH,0.5,horizontal,right,right,1,2,right_horizontal,2,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,18,0.0,668.5,meridianV,0.49,horizontal,up,up,1,1,up_horizontal,4,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,19,-668.5,0.0,meridianH,0.5,vertical,left,left,1,2,left_vertical,2,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,20,0.0,668.5,meridianV,0.49,horizontal,up,up,1,2,up_horizontal,5,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,21,-668.5,0.0,meridianH,0.89,horizontal,left,left,1,3,left_horizontal,3,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,22,668.5,0.0,meridianH,0.48,vertical,right,right,1,1,right_vertical,5,staircase
