participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,1,-668.5,0.0,meridianH,0.92,vertical,left,left,1,1,left_vertical,1,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,2,668.5,0.0,meridianH,0.5,vertical,right,right,1,1,right_vertical,1,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,3,0.0,668.5,meridianV,0.5,horizontal,up,up,1,1,up_horizontal,1,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,4,-668.5,0.0,meridianH,0.5,horizontal,left,left,1,1,left_horizontal,1,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,5,0.0,-668.5,meridianV,0.5,vertical,down,down,1,1,down_vertical,1,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,6,668.5,0.0,meridianH,0.71,vertical,right,right,1,2,right_vertical,2,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,7,0.0,668.5,meridianV,0.5,vertical,up,up,1,1,up_vertical,1,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,8,0.0,668.5,meridianV,0.5,vertical,up,up,1,2,up_vertical,2,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,9,0.0,668.5,meridianV,0.49,vertical,up,up,1,1,up_vertical,3,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,10,668.5,0.0,meridianH,0.49,vertical,right,right,1,1,right_vertical,3,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,11,668.5,0.0,meridianH,0.72,horizontal,right,right,1,1,right_horizontal,1,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,12,0.0,-668.5,meridianV,0.5,vertical,down,down,1,2,down_vertical,2,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,13,0.0,-668.5,meridianV,0.5,horizontal,down,down,1,1,down_horizontal,1,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,14,0.0,-668.5,meridianV,0.49,vertical,down,down,1,1,down_vertical,3,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,15,-668.5,0.0,meridianH,0.0,vertical,left,noResp,0,0,left_vertical,2,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,16,0.0,668.5,meridianV,0.75,horizontal,up,up,1,2,up_horizontal,2,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,17,0.0,-668.5,meridianV,0.49,vertical,down,down,1,2,down_vertical,4,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,18,668.5,0.0,meridianH,0.49,vertical,right,right,1,2,right_vertical,4,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,19,0.0,668.5,meridianV,0.49,vertical,up,up,1,2,up_vertical,4,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,20,-668.5,0.0,meridianH,0.5,horizontal,left,left,1,2,left_horizontal,2,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,21,0.0,-668.5,meridianV,0.87,vertical,down,down,1,3,down_vertical,5,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,22,-668.5,0.0,meridianH,0.49,horizontal,left,left,1,1,left_horizontal,3,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,23,0.0,-668.5,meridianV,0.5,horizontal,down,down,1,2,down_horizontal,2,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,24,668.5,0.0,meridianH,0.48,vertical,right,right,1,1,right_vertical,5,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,25,668.5,0.0,meridianH,0.48,vertical,right,right,1,2,right_vertical,6,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,26,0.0,668.5,meridianV,0.97,horizontal,up,up,1,3,up_horizontal,3,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,27,0.0,668.5,meridianV,0.48,vertical,up,up,1,1,up_vertical,5,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,28,-668.5,0.0,meridianH,0.49,horizontal,left,left,1,2,left_horizontal,4,staircase
