participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSizeDVA,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,1,0,752,meridianV,0.74,horizontal,up,left,0,0,up_horizontal,1,highCont
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,2,0,-752,meridianV,0.25,vertical,down,left,0,0,down_vertical,1,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,3,-752,0,meridianH,0.25,horizontal,left,left,1,1,left_horizontal,1,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,4,752,0,meridianH,0.25,horizontal,right,right,1,1,right_horizontal,1,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,5,0,-752,meridianV,0.27,vertical,down,right,0,0,down_vertical,2,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,6,-752,0,meridianH,0.76,vertical,left,left,1,1,left_vertical,1,highCont
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,7,-752,0,meridianH,0.25,horizontal,left,right,0,0,left_horizontal,2,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,8,752,0,meridianH,0.25,vertical,right,right,1,1,right_vertical,1,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,9,0,752,meridianV,0.27,horizontal,up,left,0,0,up_horizontal,2,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,10,752,0,meridianH,0.25,horizontal,right,right,1,2,right_horizontal,2,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,11,752,0,meridianH,0.93,horizontal,right,right,1,3,right_horizontal,3,highCont
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,12,752,0,meridianH,0.25,vertical,right,right,1,2,right_vertical,2,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,13,-752,0,meridianH,0.25,vertical,left,left,1,2,left_vertical,2,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,14,0,752,meridianV,0.25,vertical,up,left,0,0,up_vertical,1,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,15,0,-752,meridianV,0.25,horizontal,down,up,0,0,down_horizontal,1,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,16,-752,0,meridianH,1.0,horizontal,left,left,1,1,left_horizontal,3,highCont
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,17,-752,0,meridianH,0.23,vertical,left,left,1,1,left_vertical,3,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,18,-752,0,meridianH,0.23,vertical,left,left,1,2,left_vertical,4,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,19,0,752,meridianV,0.29000000000000004,horizontal,up,left,0,0,up_horizontal,3,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,20,0,-752,meridianV,0.29000000000000004,vertical,down,up,0,0,down_vertical,3,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,21,752,0,meridianH,0.76,vertical,right,right,1,3,right_vertical,3,highCont
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,22,-752,0,meridianH,0.25,horizontal,left,left,1,2,left_horizontal,4,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,23,0,-752,meridianV,0.31000000000000005,vertical,down,down,1,1,down_vertical,4,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,24,0,752,meridianV,0.27,vertical,up,up,1,1,up_vertical,2,staircase
,measure_radialbias,2024-03-01_18h00.45.353,,15,752,"(200, 200)",4,test,25,0,752,meridianV,0.27,vertical,up,right,0,0,up_vertical,3,staircase
